[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
0.978428,0.225806,1.01879,0.227181,0.488554,0.200584,5.75876e-05,0.00227736

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
BSA16A_1,66879,16,0.000137754,48920.1,48125.9
BSA16A_2,66879,16,0.000275508,45063.5,47741.9
BSA16A_3,66879,16,0.000413261,42168.9,47248.3
BSA16A_4,66879,16,0.000551015,41262.3,46996.2
BSA16A_5,66879,16,0.000688769,40365.8,46717.5
BSA16A_6,66879,16,0.000826523,38535.6,46128.8
BSA16A_7,66879,16,0.000964276,36651.8,45499.8
BSA16A_8,66879,16,0.00110203,35767.4,45111.5
BSA16A_9,66879,16,0.00123978,33869.1,44361.7
BSA16A_10,66879,16,0.00137754,30033.9,42591
BSA16A_11,66879,16,0.00151529,28126.8,41540.7
BSA16A_12,66879,16,0.00165305,25256.1,39745.5
BSA16A_13,66879,16,0.0017908,23414.3,38345.3
BSA16A_14,66879,16,0.00192855,23501.6,38302
BSA16A_15,66879,16,0.00206631,23628.8,38236.5
BSA16A_16,66879,16,0.00220406,23745.8,38175.9
BSA16A_17,66879,16,0.00234181,21862.2,36663.5
BSA16A_18,66879,16,0.00247957,20954.7,35832
BSA16A_19,66879,16,0.00261732,20048.9,34956.2
BSA16A_20,66879,16,0.00275508,19165.5,34022.9
BSA16A_21,66879,16,0.00289283,17300.5,32041.8
BSA16A_22,66879,16,0.00303058,17425.7,31990.8
BSA16A_23,66879,16,0.00316834,14560.1,28567.8
BSA16A_24,66879,16,0.00330609,13692.6,27234.5
BSA16A_25,66879,16,0.00344384,13775.5,27210.1
BSA16A_26,66879,16,0.0035816,11927.3,24270.9
BSA16A_27,66879,16,0.00371935,10068.5,20763.3
BSA16A_28,66879,16,0.00385711,8169.91,16332.8
BSA16A_29,66879,16,0.00399486,8298.45,16304.3
BSA16A_30,66879,16,0.00413261,8418.87,16278.4
BSA16A_31,66879,16,0.00427037,8539.04,16251.4
BSA16A_32,66879,16,0.00440812,8640.58,16232.8
BSA16A_33,66879,16,0.00454587,7733.98,13395.2
BSA16A_34,66879,16,0.00468363,6847.39,9671.61
BSA16A_35,66879,16,0.00482138,6937.32,9665.22
BSA16A_36,66879,16,0.00495914,6067.44,2451.55
BSA16A_37,66879,16,0.00509689,6176.15,2427.73
BSA16A_38,66879,16,0.00523464,6272.04,2425.84
BSA16A_39,66879,16,0.0053724,6379.76,2404.16
BSA16A_40,66879,16,0.00551015,6472.16,2405.58
BSA16A_41,66879,16,0.0056479,6560.55,2411.24
BSA16A_42,66879,16,0.00578566,6662.39,2392.65
BSA16A_43,66879,16,0.00592341,6750.11,2396.17
BSA16A_44,66879,16,0.00606117,6837.1,2399.82
BSA16A_45,66879,16,0.00619892,6923.07,2403.85
BSA16A_46,66879,16,0.00633667,7012.32,2399.81
BSA16A_47,66879,16,0.00647443,7097.81,2401.8
BSA16A_48,66879,16,0.00661218,7181.32,2405.69
BSA16A_49,66879,16,0.00674993,7276.8,2387.88
BSA16A_50,66879,16,0.00688769,7359.08,2391.37
BSA16A_51,66879,16,0.00702544,7440.28,2395.36
BSA16A_52,66879,16,0.0071632,7520.56,2399.93
BSA16A_53,66879,16,0.00730095,7599.89,2404.84
BSA16A_54,66879,16,0.0074387,7678.42,2410.21
BSA16A_55,66879,16,0.00757646,7756.02,2415.91
BSA16A_56,66879,16,0.00771421,7832.78,2421.92
BSA16A_57,66879,16,0.00785196,7908.76,2428.21
BSA16A_58,66879,16,0.00798972,7983.95,2434.76
BSA16A_59,66879,16,0.00812747,8058.41,2441.57
BSA16A_60,66879,16,0.00826523,8132.12,2448.59
BSA16A_61,66879,16,0.00840298,8205.14,2455.93
BSA16A_62,66879,16,0.00854073,8277.5,2463.44
BSA16A_63,66879,16,0.00867849,8349.12,2471.02
BSA16A_64,66879,16,0.00881624,8420.2,2478.81
BSA16A_65,66879,16,0.00895399,8490.59,2486.85
BSA16A_66,66879,16,0.00909175,8560.36,2494.96
BSA16A_67,66879,16,0.0092295,8629.64,2503.32
BSA16A_68,66879,16,0.00936726,8698.19,2511.79
BSA16A_69,66879,16,0.00950501,8766.27,2520.32
BSA16A_70,66879,16,0.00964276,8833.84,2529.05
BSA16A_71,66879,16,0.00978052,8900.79,2537.74
BSA16A_72,66879,16,0.00991827,8967.29,2546.61
BSA16A_73,66879,16,0.010056,9033.22,2555.55
BSA16A_74,66879,16,0.0101938,9098.65,2564.58
BSA16A_75,66879,16,0.0103315,9163.6,2573.72
BSA16A_76,66879,16,0.0104693,9228.04,2582.86
BSA16A_77,66879,16,0.010607,9292.01,2592.11
BSA16A_78,66879,16,0.0107448,9355.59,2601.49
BSA16A_79,66879,16,0.0108825,9418.66,2610.85
BSA16A_80,66879,16,0.0110203,9481.47,2620.41
BSA16A_81,66879,16,0.0111581,9543.66,2629.79
BSA16A_82,66879,16,0.0112958,9605.5,2639.29
BSA16A_83,66879,16,0.0114336,9666.96,2648.89
BSA16A_84,66879,16,0.0115713,9727.98,2658.39
BSA16A_85,66879,16,0.0117091,9788.69,2668.07
BSA16A_86,66879,16,0.0118468,9848.94,2677.73
BSA16A_87,66879,16,0.0119846,9908.81,2687.42
BSA16A_88,66879,16,0.0121223,9968.35,2697.14
BSA16A_89,66879,16,0.0122601,10027.5,2706.91
BSA16A_90,66879,16,0.0123978,10086.4,2716.7
BSA16A_91,66879,16,0.0125356,10144.8,2726.44
BSA16A_92,66879,16,0.0126733,10202.9,2736.26
BSA16A_93,66879,16,0.0128111,10260.6,2746.11
BSA16A_94,66879,16,0.0129489,10318,2756
BSA16A_95,66879,16,0.0130866,10375,2765.8
BSA16A_96,66879,16,0.0132244,10431.9,2775.69
BSA16A_97,66879,16,0.0133621,10488.3,2785.49
BSA16A_98,66879,16,0.0134999,10544.6,2795.36
BSA16A_99,66879,16,0.0136376,10600.4,2805.19
BSA16A_100,66879,16,0.0137754,10656,2815.09
BSA16A_101,66879,16,0.0139131,10711.2,2824.86
BSA16A_102,66879,16,0.0140509,10766.1,2834.72
BSA16A_103,66879,16,0.0141886,10820.9,2844.63
BSA16A_104,66879,16,0.0143264,10875.4,2854.58
BSA16A_105,66879,16,0.0144641,10929.5,2864.42
BSA16A_106,66879,16,0.0146019,10983.3,2874.28
BSA16A_107,66879,16,0.0147397,11036.9,2884.15
BSA16A_108,66879,16,0.0148774,11090.3,2894.01
BSA16A_109,66879,16,0.0150152,11143.4,2903.89
BSA16A_110,66879,16,0.0151529,11196.2,2913.75
BSA16A_111,66879,16,0.0152907,11248.8,2923.61
BSA16A_112,66879,16,0.0154284,11301.1,2933.39
BSA16A_113,66879,16,0.0155662,11353.2,2943.2
BSA16A_114,66879,16,0.0157039,11405.1,2953.07
BSA16A_115,66879,16,0.0158417,11456.7,2962.74
BSA16A_116,66879,16,0.0159794,11508,2972.57
BSA16A_117,66879,16,0.0161172,11559,2982.32
BSA16A_118,66879,16,0.0162549,11610,2992.09
BSA16A_119,66879,16,0.0163927,11660.5,3001.75
BSA16A_120,66879,16,0.0165305,11711,3011.48
BSA16A_121,66879,16,0.0166682,11761.3,3021.23
BSA16A_122,66879,16,0.016806,11811.3,3031
BSA16A_123,66879,16,0.0169437,11861.1,3040.76
BSA16A_124,66879,16,0.0170815,11910.7,3050.28
BSA16A_125,66879,16,0.0172192,11960.1,3060.01
BSA16A_126,66879,16,0.017357,12009.3,3069.68
BSA16A_127,66879,16,0.0174947,12058.3,3079.39
BSA16A_128,66879,16,0.0176325,12107.2,3089.06
BSA16A_129,66879,16,0.0177702,12155.7,3098.68
BSA16A_130,66879,16,0.017908,12204.1,3108.28
BSA16A_131,66879,16,0.0180457,12252.2,3117.83
BSA16A_132,66879,16,0.0181835,12300.2,3127.37
BSA16A_133,66879,16,0.0183213,12348,3136.89
BSA16A_134,66879,16,0.018459,12395.6,3146.4
BSA16A_135,66879,16,0.0185968,12443,3155.94
BSA16A_136,66879,16,0.0187345,12490.2,3165.42
BSA16A_137,66879,16,0.0188723,12537.4,3174.96
BSA16A_138,66879,16,0.01901,12584.3,3184.42
BSA16A_139,66879,16,0.0191478,12631.1,3193.96
BSA16A_140,66879,16,0.0192855,12677.7,3203.42
BSA16A_141,66879,16,0.0194233,12724.1,3212.84
BSA16A_142,66879,16,0.019561,12770.3,3222.27
BSA16A_143,66879,16,0.0196988,12816.3,3231.61
BSA16A_144,66879,16,0.0198365,12862.2,3240.97
BSA16A_145,66879,16,0.0199743,12908,3250.34
BSA16A_146,66879,16,0.0201121,12953.5,3259.69
BSA16A_147,66879,16,0.0202498,12998.9,3269.05
BSA16A_148,66879,16,0.0203876,13044.2,3278.38
BSA16A_149,66879,16,0.0205253,13089.3,3287.65
BSA16A_150,66879,16,0.0206631,13134.1,3296.98
BSA16A_151,66879,16,0.0208008,13178.8,3306.1
BSA16A_152,66879,16,0.0209386,13223.4,3315.34
BSA16A_153,66879,16,0.0210763,13267.9,3324.57
BSA16A_154,66879,16,0.0212141,13312.1,3333.82
BSA16A_155,66879,16,0.0213518,13356.3,3342.98
BSA16A_156,66879,16,0.0214896,13400.3,3352.19
BSA16A_157,66879,16,0.0216273,13444.2,3361.38
BSA16A_158,66879,16,0.0217651,13487.9,3370.47
BSA16A_159,66879,16,0.0219028,13531.5,3379.59
BSA16A_160,66879,16,0.0220406,13574.9,3388.7
BSA16A_161,66879,16,0.0221784,13618.2,3397.7
BSA16A_162,66879,16,0.0223161,13661.3,3406.74
BSA16A_163,66879,16,0.0224539,13704.3,3415.83
BSA16A_164,66879,16,0.0225916,13747.2,3424.76
BSA16A_165,66879,16,0.0227294,13790,3433.75
BSA16A_166,66879,16,0.0228671,13832.6,3442.74
BSA16A_167,66879,16,0.0230049,13875.1,3451.74
BSA16A_168,66879,16,0.0231426,13917.4,3460.68
BSA16A_169,66879,16,0.0232804,13959.6,3469.66
BSA16A_170,66879,16,0.0234181,14001.7,3478.62
BSA16A_171,66879,16,0.0235559,14043.7,3487.54
BSA16A_172,66879,16,0.0236936,14085.6,3496.41
BSA16A_173,66879,16,0.0238314,14127.2,3505.3
BSA16A_174,66879,16,0.0239692,14169,3514.27
