[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
0.978428,0.225806,1.01879,0.227181,0.488554,0.200584,5.75876e-05,0.00227736

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
BSA17C_1,66879,17,0.000137754,49074.9,47983
BSA17C_2,66879,17,0.000275508,45231.1,47599.1
BSA17C_3,66879,17,0.000413261,42345.4,47107.1
BSA17C_4,66879,17,0.000551015,41461.9,46838.9
BSA17C_5,66879,17,0.000688769,40560.4,46568.1
BSA17C_6,66879,17,0.000826523,38729.3,45986.8
BSA17C_7,66879,17,0.000964276,36848.6,45362.4
BSA17C_8,66879,17,0.00110203,35969.7,44973.5
BSA17C_9,66879,17,0.00123978,34079.8,44224.7
BSA17C_10,66879,17,0.00137754,30262.6,42456.2
BSA17C_11,66879,17,0.00151529,28359.9,41411
BSA17C_12,66879,17,0.00165305,25501.9,39620.4
BSA17C_13,66879,17,0.0017908,23655.3,38231.5
BSA17C_14,66879,17,0.00192855,23761.1,38178.2
BSA17C_15,66879,17,0.00206631,23898.1,38107.4
BSA17C_16,66879,17,0.00220406,24019.3,38044.6
BSA17C_17,66879,17,0.00234181,22137.1,36541.3
BSA17C_18,66879,17,0.00247957,21246.5,35706.1
BSA17C_19,66879,17,0.00261732,20352.3,34830.2
BSA17C_20,66879,17,0.00275508,19484.4,33895
BSA17C_21,66879,17,0.00289283,17605.8,31932.1
BSA17C_22,66879,17,0.00303058,17738,31878.5
BSA17C_23,66879,17,0.00316834,14890.5,28466.9
BSA17C_24,66879,17,0.00330609,14026.5,27139.8
BSA17C_25,66879,17,0.00344384,14117.9,27112.3
BSA17C_26,66879,17,0.0035816,12293.7,24180.7
BSA17C_27,66879,17,0.00371935,10437.5,20692.2
BSA17C_28,66879,17,0.00385711,8562.25,16279.9
BSA17C_29,66879,17,0.00399486,8685.61,16253.8
BSA17C_30,66879,17,0.00413261,8815.81,16225.1
BSA17C_31,66879,17,0.00427037,8941.15,16197.1
BSA17C_32,66879,17,0.00440812,9047.03,16178.1
BSA17C_33,66879,17,0.00454587,8158.3,13353.8
BSA17C_34,66879,17,0.00468363,7271.66,9658.84
BSA17C_35,66879,17,0.00482138,7365.65,9652.7
BSA17C_36,66879,17,0.00495914,6484.87,2586.49
BSA17C_37,66879,17,0.00509689,6603.03,2556.87
BSA17C_38,66879,17,0.00523464,6699.8,2561.53
BSA17C_39,66879,17,0.0053724,6817.26,2532.19
BSA17C_40,66879,17,0.00551015,6914.46,2532.35
BSA17C_41,66879,17,0.0056479,7008.63,2536.41
BSA17C_42,66879,17,0.00578566,7101.49,2541.2
BSA17C_43,66879,17,0.00592341,7205.32,2527.79
BSA17C_44,66879,17,0.00606117,7296.97,2531.8
BSA17C_45,66879,17,0.00619892,7387.46,2536.57
BSA17C_46,66879,17,0.00633667,7482.6,2530.87
BSA17C_47,66879,17,0.00647443,7572.01,2534.49
BSA17C_48,66879,17,0.00661218,7659.99,2538.98
BSA17C_49,66879,17,0.00674993,7746.84,2544.3
BSA17C_50,66879,17,0.00688769,7832.58,2550.15
BSA17C_51,66879,17,0.00702544,7917.28,2556.42
BSA17C_52,66879,17,0.0071632,8018.81,2532.43
