# Range file name:,BSA15E.txt,BSA15E.txt.1,BSA15E.txt.2,BSA15E.txt.3,BSA15E.txt.4,BSA15E.txt.5,BSA15E.txt.6,BSA15E.txt.7,BSA15E.txt.8,BSA15E.txt.9,BSA15E.txt.10,BSA15E.txt.11,BSA15E.txt.12,BSA15E.txt.13,BSA15E.txt.14,BSA15E.txt.15,BSA15E.txt.16,BSA15E.txt.17,BSA15E.txt.18,BSA15E.txt.19,BSA15E.txt.20,BSA15E.txt.21,BSA15E.txt.22,BSA15E.txt.23,BSA15E.txt.24,BSA15E.txt.25,BSA15E.txt.26,BSA15E.txt.27,BSA15E.txt.28,BSA15E.txt.29,BSA15E.txt.30,BSA15E.txt.31,BSA15E.txt.32,BSA15E.txt.33,BSA15E.txt.34,BSA15E.txt.35,BSA15E.txt.36,BSA15E.txt.37,BSA15E.txt.38,BSA15E.txt.39
# Raw file name:,251001_BSA_CIU_high_EA.raw,251001_BSA_CIU_high_EB.raw,251001_BSA_CIU_high_EC.raw,251001_BSA_CIU_high_ED.raw,251001_BSA_CIU_high_EE.raw,251001_BSA_CIU_high_EF.raw,251001_BSA_CIU_high_EG.raw,251001_BSA_CIU_high_EH.raw,251001_BSA_CIU_high_EI.raw,251001_BSA_CIU_high_EJ.raw,251001_BSA_CIU_high_EK.raw,251001_BSA_CIU_high_EL.raw,251001_BSA_CIU_high_EM.raw,251001_BSA_CIU_high_EN.raw,251001_BSA_CIU_high_EO.raw,251001_BSA_CIU_high_EP.raw,251001_BSA_CIU_high_EQ.raw,251001_BSA_CIU_high_ER.raw,251001_BSA_CIU_high_ES.raw,251001_BSA_CIU_high_ET.raw,251001_BSA_CIU_high_EU.raw,251001_BSA_CIU_high_EV.raw,251001_BSA_CIU_high_EW.raw,251001_BSA_CIU_high_EX.raw,251001_BSA_CIU_high_EY.raw,251001_BSA_CIU_high_EZ.raw,251001_BSA_CIU_high_FA.raw,251001_BSA_CIU_high_FB.raw,251001_BSA_CIU_high_FC.raw,251001_BSA_CIU_high_FD.raw,251001_BSA_CIU_high_FE.raw,251001_BSA_CIU_high_FF.raw,251001_BSA_CIU_high_FG.raw,251001_BSA_CIU_high_FH.raw,251001_BSA_CIU_high_FI.raw,251001_BSA_CIU_high_FJ.raw,251001_BSA_CIU_high_FK.raw,251001_BSA_CIU_high_FL.raw,251001_BSA_CIU_high_FM.raw,251001_BSA_CIU_high_FN.raw
$TrapCV:,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,81.0,22.0,0.0,121.0,0.0,168.0,0.0,34.0,104.0,77.0,75.0,72.0,0.0,48.0,29.0,56.0,36.0,193.0,104.0,0.0,53.0,33.0,25.0,36.0,0.0,0.0,0.0,0.0,0.0
48766.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,120.0,67.0,150.0,162.0,131.0,63.0,0.0,148.0,83.0,84.0,62.0,122.0,0.0,88.0,45.0,180.0,127.0,132.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
44891.8,61.0,0.0,0.0,28.0,0.0,29.0,33.0,38.0,29.0,0.0,34.0,58.0,0.0,0.0,137.0,46.0,51.0,86.0,184.0,34.0,0.0,106.0,39.0,115.0,41.0,0.0,112.0,60.0,68.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42007,20.0,49.0,24.0,33.0,28.0,0.0,0.0,0.0,0.0,30.0,44.0,20.0,0.0,47.0,0.0,24.0,49.0,56.0,179.0,82.0,92.0,0.0,62.0,46.0,20.0,0.0,135.0,0.0,51.0,29.0,28.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41087.9,54.0,0.0,20.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,36.0,0.0,66.0,0.0,81.0,90.0,138.0,26.0,96.0,52.0,78.0,103.0,159.0,80.0,33.0,31.0,0.0,79.0,125.0,66.0,149.0,69.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40167.5,25.0,20.0,0.0,0.0,0.0,29.0,24.0,31.0,78.0,0.0,0.0,66.0,0.0,29.0,0.0,20.0,39.0,114.0,0.0,186.0,69.0,22.0,0.0,83.0,102.0,34.0,68.0,241.0,215.0,230.0,39.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0
38326.6,110.0,50.0,59.0,20.0,0.0,0.0,0.0,0.0,34.0,0.0,168.0,110.0,19.0,0.0,73.0,87.0,26.0,77.0,105.0,89.0,115.0,48.0,110.0,22.0,112.0,0.0,0.0,145.0,158.0,142.0,21.0,24.0,0.0,42.0,0.0,28.0,0.0,22.0,26.0,0.0
36435.4,71.0,22.0,56.0,0.0,70.0,0.0,41.0,0.0,0.0,0.0,30.0,72.0,0.0,0.0,30.0,35.0,69.0,29.0,141.0,59.0,56.0,221.0,114.0,126.0,105.0,0.0,0.0,34.0,177.0,48.0,60.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,35.0,0.0
35526.5,51.0,58.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,25.0,0.0,0.0,0.0,19.0,32.0,93.0,115.0,67.0,94.0,20.0,82.0,0.0,62.0,66.0,0.0,0.0,115.0,169.0,69.0,52.0,31.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
33629.4,71.0,33.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,133.0,0.0,22.0,42.0,117.0,28.0,121.0,41.0,162.0,112.0,97.0,146.0,31.0,117.0,43.0,0.0,0.0,126.0,224.0,27.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0
29786.2,0.0,0.0,0.0,24.0,103.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,34.0,41.0,63.0,36.0,86.0,44.0,145.0,222.0,25.0,38.0,54.0,60.0,100.0,0.0,0.0,201.0,26.0,89.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
27885.5,22.0,0.0,60.0,0.0,0.0,82.0,0.0,24.0,0.0,0.0,35.0,0.0,74.0,27.0,46.0,79.0,28.0,71.0,91.0,65.0,66.0,0.0,170.0,33.0,70.0,0.0,86.0,96.0,102.0,26.0,24.0,0.0,32.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0
25000.9,20.0,0.0,20.0,25.0,0.0,61.0,29.0,50.0,0.0,0.0,27.0,22.0,25.0,37.0,53.0,0.0,32.0,62.0,69.0,131.0,44.0,45.0,71.0,22.0,92.0,0.0,0.0,69.0,179.0,0.0,46.0,31.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
23138.3,0.0,0.0,138.0,0.0,0.0,0.0,48.0,0.0,0.0,33.0,0.0,28.0,22.0,53.0,75.0,0.0,80.0,39.0,107.0,63.0,95.0,58.0,64.0,0.0,143.0,0.0,0.0,208.0,161.0,130.0,31.0,59.0,0.0,45.0,56.0,0.0,0.0,0.0,0.0,0.0
