[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
0.791066,0.00453821,1.00237,0.207827,0.976858,0.0193351,0.00343314,0.000162796

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
polya_9,657.3,1,0.0224013,0.019984,0.31085,20.3815,25.3667,-19.6524
polya_11,799.3,1,0.0200138,0.0217112,0.277719,16.2156,20.3474,-20.3064
polya_12,870.5,2,0.0350564,0.0207087,0.486457,38.3975,22.8764,67.8478
polya_14,1012.5,2,0.0324586,0.0223019,0.45041,32.7218,31.3846,4.26079
polya_16,1154.6,2,0.0302264,0.0236828,0.419434,28.2429,27.6293,2.22083
polya_18,1296.7,2,0.02836,0.0249552,0.393535,24.7725,25.3667,-2.34218
polya_21,1509.8,2,0.0258671,0.0265023,0.358943,20.5173,22.8764,-10.3122
polya_21,1509.8,3,0.0322177,0.0220059,0.447067,28.3855,29.3875,-3.40933
polya_24,1722.9,2,0.0239924,0.0280511,0.332929,17.597,20.7973,-15.3879
polya_24,1722.9,3,0.0295833,0.0230585,0.41051,23.8037,27.6293,-13.8462
polya_29,2078.1,3,0.0259273,0.0243752,0.359778,18.1626,22.8764,-20.6056
polya_30,2149.1,3,0.0253901,0.0246857,0.352323,17.4021,21.7967,-20.1619
polya_31,2220.2,3,0.0247981,0.0249078,0.344109,16.5842,21.778,-23.8491
bsa_1,67144,15,0.00178138,0.0108223,0.0247192,0.0615082,12.6097,-99.5122
bsa_1,67144,16,0.00190864,0.0108707,0.0264851,0.0700479,13.9383,-99.4974
bsa_1,67144,16,0.00190864,0.0108707,0.0264851,0.0700479,73.6673,-99.9049
bsa_1,67144,16,0.00190864,0.0108707,0.0264851,0.0700479,73.9843,-99.9053
bsa_1,67144,16,0.00190864,0.0108707,0.0264851,0.0700479,73.9846,-99.9053

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
GDX_6+_mono_PCbi,13486,6,0.01808,1404.1,5.39738
GDX_7+_mono_PCbi,13486,7,0.0189,1645.42,6.37316
GDX_6+_mono_DDMmi,13485,6,0.01644,1350.19,5.13917
GDX_7+_mono_DDMmi,13485,7,0.01616,1542.66,5.75577
GDX_7+_mono_DDMmi,13485,7,1.616e-05,673.743,11.2915
GDX_7+_mono_DDMmi,13485,7,1.616e-08,672.339,11.322
