# RMSE:  2.55 
# ID  mass  z  ref_ccs  cal_ccs  ccs_error 
 poly_5 373.2 1 181 185.397 2.42928 
 poly_6 444.2 1 195 194.68 -0.164103 
 poly_7 515.3 1 211 209.147 -0.878199 
 poly_8 586.3 1 228 226.664 -0.585965 
 poly_9 657.3 1 243 241.519 -0.609465 
 poly_10 728.4 1 256 254.847 -0.450391 
 poly_11 799.4 1 271 268.987 -0.742804 
 poly_12 870.5 1 282 282.822 0.291489 
 poly_13 941.5 1 294 296.105 0.715986 
 poly_14 1012.5 1 306 308.291 0.748693 
 polyz2_11 799.4 2 296 323.214 9.19392 
 polyz2_12 870.5 2 309 303.857 -1.6644 
 polyz2_13 941.5 2 320 314.488 -1.7225 
 polyz2_14 1012.5 2 333 320.778 -3.67027 
 polyz2_15 1083.6 2 344 335.96 -2.33721 
 polyz2_16 1154.6 2 357 347.638 -2.62241 
 polyz2_17 1225.6 2 369 362.871 -1.66098 
 polyz2_18 1296.7 2 380 376.702 -0.867895 
 polyz2_19 1367.7 2 393 390.396 -0.662595 
 polyz2_20 1438.8 2 404 405.718 0.425248 
 polyz2_21 1509.8 2 416 418.434 0.585096 
 polyz2_22 1580.8 2 428 436.324 1.94486 
 polyz2_23 1651.9 2 437 446.23 2.11213 
 polyz2_24 1722.9 2 448 431.665 -3.64621 
 polyz2_25 1793.9 2 458 469.026 2.40742 
 polyz2_26 1865 2 470 453.948 -3.41532 
