# RMSE:  4.06 
# ID  mass  z  ref_ccs  cal_ccs  ccs_error 
 avd15 63697 15 4150 4010.84 -3.35325 
 avd16 63697 16 4150 3990.72 -3.83807 
 avd17 63697 17 4160 4027.15 -3.19351 
 blg7 18364 7 1950 1875.57 -3.81692 
 blg12 36728 12 3310 3194.22 -3.49789 
 blg13 36728 13 3430 3313.29 -3.40262 
 adh23 142600 23 7420 7695.71 3.71577 
 adh24 142600 24 7450 7699.65 3.35101 
 cona19 103075 19 6060 6142.87 1.36749 
 cona20 103075 20 6080 6129.55 0.814967 
 poly_5 373.2 1 181 195.443 7.97956 
 poly_6 444.2 1 195 189.899 -2.6159 
 poly_7 515.3 1 211 204.692 -2.98957 
 poly_8 586.3 1 228 222.931 -2.22325 
 poly_9 657.3 1 243 238.489 -1.85638 
 poly_10 728.4 1 256 252.26 -1.46094 
 poly_11 799.4 1 271 266.503 -1.65941 
 poly_12 870.5 1 282 280.811 -0.421631 
 poly_13 941.5 1 294 294.388 0.131973 
 poly_14 1012.5 1 306 306.684 0.223529 
 polyz2_11 799.4 2 296 330.798 11.7561 
 polyz2_12 870.5 2 309 326.905 5.7945 
 polyz2_13 941.5 2 320 315.032 -1.5525 
 polyz2_14 1012.5 2 333 350.675 5.30781 
 polyz2_15 1083.6 2 344 335.989 -2.32878 
 polyz2_16 1154.6 2 357 351.116 -1.64818 
 polyz2_17 1225.6 2 369 364.719 -1.16016 
 polyz2_18 1296.7 2 380 380.975 0.256579 
 polyz2_19 1367.7 2 393 395.677 0.68117 
 polyz2_20 1438.8 2 404 412.715 2.15718 
 polyz2_21 1509.8 2 416 425.519 2.28822 
 polyz2_22 1580.8 2 428 444.146 3.77243 
 polyz2_23 1651.9 2 437 455.229 4.1714 
 polyz2_24 1722.9 2 448 450.688 0.6 
 polyz2_25 1793.9 2 458 471.689 2.98886 
 polyz2_26 1865 2 470 458.011 -2.55085 
 polyz3_21 1509.8 3 501 515.179 2.83014 
 polyz3_22 1580.8 3 518 488.935 -5.611 
 polyz3_23 1651.9 3 532 500.192 -5.97895 
 polyz3_24 1722.9 3 545 511.304 -6.18275 
 polyz3_25 1793.9 3 561 527.039 -6.05365 
 polyz3_26 1865 3 576 540.9 -6.09375 
 polyz3_27 1937.03 3 592 557.467 -5.83328 
 polyz3_28 2008.11 3 606 575.096 -5.09967 
 polyz3_29 2079.18 3 621 589.397 -5.08905 
 polyz3_30 2150.26 3 634 606.182 -4.3877 
 polyz3_31 2221.33 3 649 622.488 -4.08505 
 polyz3_32 2292.41 3 666 635.816 -4.53213 
 polyz3_33 2363.48 3 674 650.198 -3.53145 
