# RMSE:  4.35 
# ID  mass  z  ref_ccs  cal_ccs  ccs_error 
 poly_5 373.2 1 181 196.081 8.33204 
 poly_6 444.2 1 195 190.561 -2.27641 
 poly_7 515.3 1 211 205.216 -2.74123 
 poly_8 586.3 1 228 223.281 -2.06974 
 poly_9 657.3 1 243 238.692 -1.77284 
 poly_10 728.4 1 256 252.338 -1.43047 
 poly_11 799.4 1 271 266.462 -1.67454 
 poly_12 870.5 1 282 280.637 -0.483333 
 poly_13 941.5 1 294 294.113 0.0384354 
 poly_14 1012.5 1 306 306.305 0.0996732 
 polyz2_11 799.4 2 296 330.927 11.7997 
 polyz2_12 870.5 2 309 327.063 5.84563 
 polyz2_13 941.5 2 320 315.258 -1.48188 
 polyz2_14 1012.5 2 333 350.555 5.27177 
 polyz2_15 1083.6 2 344 336.025 -2.31831 
 polyz2_16 1154.6 2 357 350.976 -1.68739 
 polyz2_17 1225.6 2 369 364.394 -1.24824 
 polyz2_18 1296.7 2 380 380.411 0.108158 
 polyz2_19 1367.7 2 393 394.883 0.479135 
 polyz2_20 1438.8 2 404 411.71 1.90842 
 polyz2_21 1509.8 2 416 424.276 1.98942 
 polyz2_22 1580.8 2 428 442.645 3.42173 
 polyz2_23 1651.9 2 437 453.564 3.79039 
 polyz2_24 1722.9 2 448 449.081 0.241295 
 polyz2_25 1793.9 2 458 469.783 2.57271 
 polyz2_26 1865 2 470 456.289 -2.91723 
 polyz3_21 1509.8 3 501 514.13 2.62076 
 polyz3_22 1580.8 3 518 488.15 -5.76255 
 polyz3_23 1651.9 3 532 499.303 -6.14605 
 polyz3_24 1722.9 3 545 510.286 -6.36954 
 polyz3_25 1793.9 3 561 525.747 -6.28396 
 polyz3_26 1865 3 576 539.34 -6.36458 
 polyz3_27 1937.03 3 592 555.624 -6.14459 
 polyz3_28 2008.11 3 606 572.941 -5.45528 
 polyz3_29 2079.18 3 621 587.019 -5.47198 
 polyz3_30 2150.26 3 634 603.547 -4.80331 
 polyz3_31 2221.33 3 649 619.648 -4.52265 
 polyz3_32 2292.41 3 666 632.672 -5.0042 
 polyz3_33 2363.48 3 674 646.781 -4.03843 
