z	velocity	temperature	rho
0.626348	0.266402	600	0.568983
0.626873	0.274385	599.985	0.568993
0.627311	0.282892	599.968	0.569009
0.627319	0.283182	599.968	0.56901
0.628258	0.332159	599.88	0.569093
0.628346	0.342806	599.861	0.569111
0.628709	0.387456	599.784	0.569184
0.629509	0.562475	599.509	0.569445
0.630309	0.948736	599.231	0.569708
0.630709	1.38082	598.992	0.569933
0.631109	2.3471	598.475	0.570419
0.631509	4.35276	598.103	0.570747
0.631709	6.68973	597.867	0.57092
0.631909	12.1508	597.112	0.571445
0.632109	23.8462	596.726	0.571009
0.632209	36.2767	596.294	0.570062
0.632309	57.0022	594.429	0.568538
0.632409	85.5079	589.508	0.566783
0.632509	115.09	583.598	0.563647
0.632609	135.428	577.288	0.562379
0.632709	144.222	573.053	0.562507
0.632783	146.453	571.054	0.563024
0.632903	147.045	568.978	0.564295
0.633028	146.949	566.704	0.566158
0.633109	146.805	565.251	0.567383
0.633209	146.913	564.341	0.568048
0.633309	146.856	563.324	0.568841
0.633409	146.794	562.369	0.56959
0.633509	146.83	561.675	0.570085
0.633608	146.903	561.034	0.570534
0.633709	146.908	560.339	0.571034
0.633809	146.965	559.761	0.57141
0.633909	146.999	559.121	0.571854
0.634009	147.291	558.716	0.57204
0.634109	147.376	558.188	0.572335
0.634209	147.397	557.744	0.572581
0.634309	147.404	557.328	0.572818
0.634409	147.539	556.991	0.57296
0.634509	147.574	556.572	0.573186
0.634609	147.692	556.278	0.573307
0.634709	147.703	555.872	0.57352
0.634809	147.764	555.485	0.573678
0.634909	147.813	555.04	0.573885
0.635009	148.026	554.773	0.573931
0.635109	148.006	554.424	0.574084
0.635209	148.103	554.17	0.57414
0.635309	147.981	553.804	0.57432
0.635409	148.106	553.578	0.574345
0.635509	148.215	553.299	0.574422
0.635609	148.158	552.982	0.574535
0.635709	148.058	552.72	0.574621
0.635809	148.063	552.497	0.574701
0.635909	147.923	552.175	0.574857
0.636009	147.909	551.912	0.574915
0.636109	147.782	551.583	0.575037
0.636209	147.726	551.268	0.575128
0.636309	147.872	551.077	0.575097
0.636409	147.978	550.902	0.575089
0.636509	148.032	550.705	0.575124
0.636609	147.938	550.441	0.575209
0.636709	147.783	550.166	0.575308
0.636809	147.726	549.934	0.57537
0.636909	147.729	549.725	0.575385
0.637007	147.813	549.538	0.57537
0.637008	147.827	549.543	0.575364
0.637109	147.86	549.293	0.575396
0.637209	148.085	549.116	0.575329
0.637309	148.104	548.897	0.575338
0.637409	148.273	548.735	0.575317
0.637509	148.294	548.507	0.575324
0.637609	148.304	548.337	0.57527
0.637709	148.327	548.179	0.575236
0.637809	148.35	547.976	0.575236
0.637909	148.309	547.723	0.575248
0.638009	148.316	547.475	0.575234
0.638109	148.518	547.32	0.575138
0.638209	148.481	547.122	0.575107
0.638309	148.446	546.97	0.575069
0.638409	148.367	546.812	0.575076
0.638509	148.196	546.607	0.575126
0.638609	148.052	546.411	0.575155
0.638709	147.934	546.198	0.575188
0.638809	147.885	545.985	0.575193
0.638909	148.078	545.858	0.575099
0.639008	148.262	545.751	0.574999
0.639109	148.178	545.563	0.574997
0.639209	148.112	545.389	0.574984
0.639309	148.205	545.243	0.574932
0.639409	148.23	545.068	0.574898
0.639509	148.297	544.909	0.574843
0.639609	148.188	544.693	0.574845
0.639709	148.275	544.545	0.574778
0.639809	148.398	544.396	0.574714
0.639909	148.401	544.21	0.574672
0.640009	148.446	544.044	0.574607
0.640109	148.38	543.859	0.574561
0.640209	148.434	543.721	0.574488
0.640309	148.372	543.532	0.574471
0.640409	148.478	543.391	0.574384
0.640509	148.539	543.236	0.574324
0.640609	148.678	543.097	0.574259
0.640709	148.812	542.936	0.574188
0.640809	148.933	542.77	0.57411
0.640909	149.062	542.62	0.574027
0.641009	149.121	542.468	0.573958
0.641109	148.919	542.284	0.573953
0.641209	148.854	542.159	0.573923
0.641309	148.928	542.043	0.573877
0.641409	149.11	541.913	0.573811
0.641509	149.282	541.754	0.57374
0.641609	149.385	541.582	0.573662
0.641709	149.515	541.427	0.573577
0.641809	149.477	541.259	0.573508
0.641909	149.379	541.098	0.573439
0.642009	149.351	540.959	0.573395
0.642108	149.413	540.849	0.573332
0.642209	149.33	540.698	0.573304
0.642309	149.272	540.569	0.573265
0.642409	149.17	540.429	0.573242
0.642509	149.094	540.276	0.573215
0.642609	149.242	540.161	0.573123
0.642709	149.367	540.025	0.573038
0.642809	149.274	539.831	0.572995
