z	velocity	temperature	rho
-0.187	1.66343	299.999	1.13795
-0.18676586	1.67033	299.999	1.13795
-0.1866931	1.67468	299.999	1.13795
-0.18635783	1.69534	299.999	1.13795
-0.18608147	1.719	299.999	1.13795
-0.1858976	1.73596	299.999	1.13794
-0.18553253	1.77321	299.998	1.13794
-0.18537354	1.79006	299.998	1.13794
-0.18499988	1.82758	299.998	1.13794
-0.18476837999999998	1.8498	299.998	1.13794
-0.18473234	1.85331	299.998	1.13794
-0.18463471	1.86306	299.998	1.13794
-0.18426402	1.9	299.998	1.13794
-0.18426229	1.90017	299.998	1.13794
-0.18411038999999998	1.91713	299.998	1.13794
-0.18402736	1.92682	299.998	1.13794
-0.18371973	1.96777	299.998	1.13794
-0.18361977	1.98502	299.998	1.13794
-0.18351402	2.00633	299.998	1.13794
-0.18333908999999998	2.04706	299.998	1.13794
-0.18326079	2.0689	299.998	1.13794
-0.18307504	2.13337	299.998	1.13794
-0.18290907	2.20647	299.998	1.13794
-0.18288768	2.21929	299.998	1.13794
-0.18270661	2.3438	299.997	1.13793
-0.18254826	2.50285	299.997	1.13793
-0.18252505	2.53252	299.997	1.13793
-0.18238656	2.72598	299.996	1.13792
-0.18232438	2.84673	299.996	1.13792
-0.18228170999999999	2.92969	299.996	1.13792
-0.18214255999999998	3.27824	299.995	1.13791
-0.18213372	3.30923	299.995	1.13791
-0.18203624	3.66941	299.993	1.1379
-0.181945851	4.09671	299.992	1.13788
-0.181881459	4.48128	299.99	1.13787
-0.18179979	5.12901	299.987	1.13784
-0.181796835	5.15497	299.987	1.13784
-0.181714017	6.01028	299.983	1.13779
-0.181685292	6.3835	299.98	1.13777
-0.181678823	6.46777	299.98	1.13777
-0.18162562599999998	7.2677	299.975	1.13771
-0.181566858	8.41703	299.966	1.13763
-0.181523022	9.47257	299.957	1.13754
-0.181517714	9.6132	299.955	1.13753
-0.181462605	11.2682	299.939	1.13737
-0.181406146	13.5529	299.911	1.1371
-0.181335124	17.4203	299.852	1.13653
-0.181285175	20.9831	299.786	1.1359
-0.181230688	26.4625	299.657	1.13467
-0.181204067	29.5356	299.576	1.13387
-0.181157498	35.5556	299.384	1.13201
-0.181122743	41.2448	299.171	1.12995
-0.1810726987	50.5425	298.756	1.12607
-0.18102302979999998	60.5189	298.227	1.12111
-0.181	65.3524	297.933	1.11835
-0.18097281839999999	70.8387	297.575	1.11502
-0.1809309838	78.3604	297.034	1.10991
-0.18087913	85.8846	296.444	1.10415
-0.18081036	92.4419	295.885	1.09871
-0.180754682	95.8559	295.576	1.09638
-0.180697159	97.9392	295.382	1.09545
-0.180649074	98.3598	295.343	1.09523
-0.180642963	98.448	295.334	1.09522
-0.18058433	98.9233	295.29	1.09554
-0.18052855099999998	98.8831	295.295	1.09598
-0.18048578499999998	98.7958	295.304	1.09635
-0.180433486	98.6153	295.322	1.09672
-0.1803902	98.3908	295.344	1.09702
-0.18036397599999998	98.2701	295.355	1.09717
-0.18035147899999998	98.216	295.36	1.09724
-0.18030254499999998	98.0622	295.375	1.09752
-0.18023640999999999	97.8052	295.401	1.0978
-0.180193023	97.7147	295.41	1.09797
-0.18017741199999998	97.675	295.414	1.09801
-0.18011470499999999	97.5483	295.426	1.09818
-0.180081137	97.4585	295.435	1.09824
-0.180065711	97.4121	295.44	1.09826
-0.18001165	97.33	295.449	1.09832
-0.17995227	97.3248	295.449	1.0984
-0.17990849	97.2323	295.459	1.09841
-0.17985289	97.1801	295.465	1.09842
-0.17979209	97.1676	295.467	1.09841
-0.17973335999999998	97.2097	295.463	1.09842
-0.17972359	97.1964	295.464	1.09842
-0.17966753	97.2012	295.465	1.0984
-0.17966543999999998	97.2015	295.465	1.0984
-0.17960407	97.1747	295.469	1.09834
-0.17954464	97.1115	295.476	1.09826
-0.17949300999999998	97.1327	295.475	1.09823
-0.17944742	97.182	295.471	1.0982
-0.17942471	97.2065	295.468	1.09818
-0.17936501	97.1721	295.473	1.09811
-0.1793218	97.2582	295.465	1.09809
-0.17928027	97.3026	295.461	1.09805
-0.17921218	97.2885	295.464	1.09795
-0.17917866	97.3229	295.461	1.09792
-0.17915428	97.3388	295.46	1.09789
-0.17913721999999999	97.3523	295.459	1.09787
-0.17909946999999998	97.3266	295.463	1.09782
-0.1790719	97.3483	295.461	1.09778
-0.1790474	97.3997	295.456	1.09776
-0.17904413	97.403	295.456	1.09776
-0.17900512999999998	97.424	295.455	1.09769
-0.17896343	97.4196	295.456	1.09761
-0.17891891	97.4595	295.453	1.09755
-0.17887269	97.497	295.451	1.09747
-0.17882230999999998	97.5859	295.443	1.0974
-0.17879575	97.6197	295.44	1.09737
-0.17875542	97.7056	295.432	1.09732
-0.1787481	97.709	295.432	1.09731
-0.178677	97.7911	295.426	1.09721
-0.17863386	97.833	295.423	1.09714
-0.17862248	97.8472	295.421	1.09712
-0.17855605	97.8387	295.424	1.09697
-0.17850464	97.9293	295.416	1.0969
-0.17845323	97.9667	295.414	1.09681
-0.17840873	98.0204	295.409	1.09673
-0.17835034	98.0915	295.404	1.09663
-0.17829129	98.1745	295.397	1.09654
-0.17825921	98.2536	295.389	1.0965
-0.17821547	98.3214	295.384	1.09642
-0.17819657	98.2998	295.386	1.09637
-0.17814294	98.2818	295.39	1.09623
-0.17812187999999998	98.3855	295.38	1.09622
-0.17810758	98.4353	295.375	1.09621
-0.17803422	98.4385	295.376	1.09606
-0.17799626	98.5133	295.37	1.096
-0.17797468	98.5101	295.37	1.09595
-0.17790961	98.6565	295.357	1.09585
-0.17789602999999998	98.6731	295.356	1.09582
-0.17783821	98.6781	295.357	1.0957
-0.1777788	98.6431	295.361	1.09558
-0.1777253	98.7481	295.352	1.09552
