zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
-0.010045757	-53.28478535	0.944190147
-0.010039134	-53.13098855	0.944226942
-0.010031356	-52.95037239	0.944270153
-0.009954148	-51.15744069	0.944699094
-0.009870922	-49.22474222	0.945161452
-0.009864299	-49.07094525	0.945198244
-0.009856522	-48.89032888	0.945241451
-0.009779314	-47.09739509	0.94567035
-0.009696088	-45.16469437	0.946132663
-0.00969107	-45.04818142	0.946160534
-0.009685178	-44.91135082	0.946193267
-0.009645405	-43.9877179	0.946414208
-0.00960253	-42.99208486	0.946652383
-0.009599119	-42.91285613	0.946671337
-0.009595112	-42.81981135	0.946693596
-0.009555338	-41.89617949	0.94691456
-0.009512464	-40.9005476	0.947152762
-0.009509052	-40.82131895	0.947171717
-0.009505046	-40.72827428	0.947193978
-0.009465272	-39.80464348	0.947414966
-0.009422398	-38.80901272	0.947653193
-0.009417381	-38.69249997	0.947681068
-0.009411489	-38.55566953	0.947713805
-0.009334281	-36.76273891	0.94814279
-0.009251055	-34.83004199	0.948605193
-0.009244432	-34.67624516	0.948641989
-0.009236654	-34.49562896	0.9486852
-0.009159446	-32.70269702	0.949114139
-0.00907622	-30.76999867	0.949576492
-0.009069597	-30.61620172	0.949613284
-0.00906182	-30.43558539	0.94965649
-0.008984612	-28.64265212	0.950085383
-0.008901386	-26.70995234	0.950547685
-0.008896368	-26.59343945	0.950575556
-0.008890476	-26.45660886	0.950608288
-0.008850703	-25.53297608	0.950829212
-0.008807828	-24.53734297	0.951067371
-0.008804417	-24.45811422	0.951086323
-0.00880041	-24.36506943	0.951108581
-0.008760636	-23.44143726	0.951329532
-0.008717762	-22.44580482	0.951567721
-0.008714351	-22.36657612	0.951586676
-0.008710344	-22.27353138	0.951608936
-0.00867057	-21.34989983	0.951829915
-0.008627696	-20.35426806	0.952068134
-0.008622679	-20.2377553	0.95209601
-0.008616787	-20.10092484	0.952128748
-0.008539579	-18.30799341	0.952557741
-0.008456353	-16.375296	0.953020155
-0.00844973	-16.22149914	0.953056951
-0.008441952	-16.04088292	0.953100164
-0.008364744	-14.24795093	0.953529116
-0.008281518	-12.31525293	0.953991486
-0.008274895	-12.16145602	0.954028279
-0.008267118	-11.98083974	0.954071487
-0.00818991	-10.1879072	0.954500398
-0.008106684	-8.255208594	0.954962724
-0.008101666	-8.138695765	0.954990596
-0.008095774	-8.001865233	0.955023329
-0.008056001	-7.078233271	0.955244262
-0.008013127	-6.082600801	0.955482426
-0.008009715	-6.003372088	0.955501378
-0.008005708	-5.910327335	0.955523636
-0.007965934	-4.986695483	0.955744586
-0.00792306	-3.991063132	0.955982768
-0.007919649	-3.911834429	0.956001722
-0.007915642	-3.818789686	0.956023981
-0.007875868	-2.895157944	0.956244948
-0.007832994	-1.899525711	0.956483148
-0.007827977	-1.783012918	0.956511023
-0.007822085	-1.64618241	0.956543758
-0.007763594	-0.287900572	0.956868726
-0.007700544	1.176264448	0.95721902
-0.007695526	1.292777235	0.957246895
-0.007689634	1.429607727	0.957279631
-0.007631144	2.787889637	0.957604588
-0.007568093	4.252054734	0.95795487
-0.007563076	4.368567528	0.957982744
-0.007557184	4.505398026	0.958015479
-0.007498693	5.863680009	0.958340424
-0.007435643	7.327845183	0.958690695
-0.007430626	7.444357993	0.958718569
-0.007424734	7.581188537	0.958751305
-0.007347526	9.374121511	0.959180283
